rabinkarp_time,rabinkarp_memory,rabinkarp_iterations,kmp_time,kmp_memory,kmp_iterations
0.0009920999999999403,240.0,758.0,0.0005356000000000805,240.0,910.0
0.001473899999999917,304.0,768.0,0.0005447999999999009,304.0,919.0
0.0010167000000000925,304.0,778.0,0.0005546000000000717,304.0,938.0
0.0010468999999999618,592.0,788.0,0.0005526000000000142,592.0,933.0
0.0010613999999999901,432.0,798.0,0.0009924999999999518,432.0,967.0
0.0018396999999998886,400.0,808.0,0.0005854000000000692,400.0,947.0
0.0018665999999998295,368.0,818.0,0.0005739000000000161,368.0,974.0
0.003268899999999908,368.0,828.0,0.0017100999999999367,368.0,971.0
0.0029231000000000673,464.0,838.0,0.0016852000000000533,464.0,975.0
0.0028791999999999707,432.0,848.0,0.0013864999999999572,432.0,1018.0
0.0021552000000000238,592.0,858.0,0.0015258000000000216,592.0,998.0
