constant_function,sum_function,product_function,naive_function,horner_function,bubblesort_function,quicksort_function,timsort_function,matmul_function,dot_function
1.3999999999292356e-06,4.040000000316013e-05,0.00011450000000223781,0.0004252000000000145,9.42999999999916e-05,0.002092800000000005,2.2299999999919606e-05,1.8300000000026625e-05,0.00024329999999928018,0.00020070000000060872
1.4999999999876226e-06,3.970000000208529e-05,4.0999999995960934e-05,0.0004383999999999498,9.539999999996772e-05,0.0022824999999999647,2.289999999982584e-05,1.8700000000038127e-05,0.0002663999999992228,0.00021120000000074413
1.8000000001627827e-06,4.129999999946676e-05,0.00011680000000069413,0.00045020000000017824,9.980000000009426e-05,0.0023668999999999496,2.159999999995499e-05,1.8900000000154904e-05,0.000307199999999952,0.0002883999999987452
1.6999999998823514e-06,4.230000000404743e-05,0.00017700000000075988,0.0004512999999999323,9.640000000010752e-05,0.0025303999999999327,2.0799999999931984e-05,1.819999999996824e-05,0.00030830000000037217,0.0002429999999993271
1.4999999999876226e-06,4.3200000000354066e-05,0.0001066000000022882,0.00047390000000002713,0.00010519999999991648,0.00263469999999999,2.1100000000107144e-05,1.869999999981609e-05,0.00034329999999904715,0.0002671999999996899
1.4000000001512802e-06,4.429999999899792e-05,0.00015470000000306072,0.0004847000000001157,0.00010379999999998725,0.002686399999999977,2.240000000020004e-05,1.8700000000038127e-05,0.0003649000000010005,0.0002806999999993565
1.2999999998708493e-06,4.520000000240998e-05,5.689999999702877e-05,0.0004959999999998299,0.00010599999999993948,0.0031308999999999365,2.7199999999893976e-05,2.140000000006026e-05,0.00039819999999934913,0.000302499999998318
1.8999999999991246e-06,4.679999999979145e-05,0.00010520000000013852,0.0005196999999999008,0.000132000000000021,0.0033418999999998977,3.2200000000148776e-05,1.9999999999908983e-05,0.0004223000000003197,0.0003184000000011622
1.7000000001043958e-06,4.8300000003109744e-05,4.679999999979145e-05,0.0005665999999999728,0.00013479999999987946,0.00327680000000008,2.469999999998862e-05,1.8999999999991246e-05,0.00044959999999960587,0.00034619999999918605
1.3999999999292356e-06,4.7399999999697684e-05,0.0001527000000010048,0.0005325999999998832,0.00011340000000004123,0.0034007000000000343,2.0200000000025753e-05,1.8300000000026625e-05,0.00048220000000043234,0.0003595000000000681
1.3000000000928935e-06,4.8400000004278354e-05,0.0001603999999986172,0.0005350000000001742,0.00011410000000000586,0.003445699999999885,2.070000000009564e-05,1.7999999999851468e-05,0.0005148999999988746,0.0003852999999995888
1.2999999998708493e-06,4.979999999932261e-05,0.00016579999999777328,0.0005515000000000381,0.00011550000000015713,0.0034895999999999816,2.06999999998736e-05,1.8300000000026625e-05,0.0005465999999998417,0.00040400000000140324
1.4000000001512802e-06,5.050000000039745e-05,5.050000000039745e-05,0.0005585000000001283,0.00012029999999985107,0.003783800000000115,2.0400000000142526e-05,1.8400000000085008e-05,0.0005828999999994977,0.0004362999999987238
1.3000000000928935e-06,5.300000000119098e-05,0.00013109999999727506,0.0005606999999998585,0.00012299999999987316,0.003898300000000132,2.049999999997887e-05,1.8700000000038127e-05,0.0006193000000003224,0.0004521999999997917
1.3999999999292356e-06,5.550000000198452e-05,9.310000000084528e-05,0.0005791000000001656,0.00012060000000002624,0.003974300000000097,2.0200000000025753e-05,1.920000000010802e-05,0.0006937000000011295,0.00048729999999963525
1.2000000000345068e-06,5.560000000315313e-05,0.0001733000000001539,0.0005778999999999089,0.00012210000000001386,0.00424229999999981,2.0899999999990367e-05,1.8400000000085008e-05,0.000698999999999117,0.0005068999999995327
1.3000000000928935e-06,5.560000000315313e-05,0.00017619999999851643,0.0005992999999999692,0.00012550000000000058,0.004330399999999957,2.2299999999919606e-05,1.809999999990985e-05,0.0007406999999997055,0.0005396999999991436
1.3000000000928935e-06,5.5200000005584116e-05,0.0001358999999965249,0.0006043999999998384,0.00012790000000006962,0.004485300000000025,2.4000000000024e-05,1.8599999999979744e-05,0.0007844000000005735,0.0005608000000005831
1.3000000000928935e-06,5.52999999996473e-05,0.00018599999999935335,0.000614400000000126,0.0001369999999998317,0.004672599999999916,2.0099999999967366e-05,1.8899999999932863e-05,0.0008272999999991981,0.0005930000000002877
1.3000000000928935e-06,5.810000000394666e-05,0.00011549999999971305,0.0006279000000000148,0.00013359999999984498,0.004907199999999889,2.0600000000037245e-05,1.8600000000201792e-05,0.0008755999999987553,0.0006216000000005549
1.2999999998708493e-06,5.740000000287182e-05,0.00017650000000202226,0.0006372999999999518,0.00013569999999996085,0.0050261000000000325,2.0400000000142526e-05,1.839999999986297e-05,0.0009268999999996195,0.0007467000000005443
1.2000000000345068e-06,5.8099999996841234e-05,0.00012689999999793145,0.0006410000000001138,0.00013439999999986796,0.005142600000000108,2.0799999999931984e-05,1.849999999992136e-05,0.0009796000000008576,0.000705899999999815
1.2000000000345068e-06,5.999999999772854e-05,0.00018940000000355894,0.000650700000000004,0.00013670000000010063,0.00529029999999997,2.0099999999967366e-05,1.839999999986297e-05,0.0010338000000000849,0.0007267999999989173
1.2999999998708493e-06,6.100000000230921e-05,0.00017319999999898528,0.0006535999999999209,0.00013499999999999623,0.005357000000000056,2.049999999997887e-05,1.7900000000015126e-05,0.001089900000000199,0.0008487000000005906
1.2999999998708493e-06,6.120000000464643e-05,0.00015090000000128612,0.0006608999999999643,0.00013780000000007675,0.005898999999999877,2.370000000007089e-05,1.809999999990985e-05,0.0011489999999998446,0.0008020000000001914
1.2000000000345068e-06,6.079999999997199e-05,0.00017319999999898528,0.0006724000000000174,0.0001386999999999361,0.005700200000000154,2.0399999999920482e-05,1.7799999999956743e-05,0.0012112000000001901,0.0008321000000002242
1.3000000000928935e-06,6.259999999969068e-05,0.00026580000000109294,0.0006919000000000786,0.00014169999999991134,0.005827100000000085,1.9800000000014247e-05,1.7700000000120394e-05,0.0012737999999998804,0.0008756999999999238
1.3000000000928935e-06,6.330000000076552e-05,0.0001508999999941807,0.0014043999999999726,0.00014469999999988659,0.0062419000000000216,1.9800000000014247e-05,1.809999999990985e-05,0.001352599999998816,0.0009484000000004043
1.2000000000345068e-06,6.419999999707215e-05,8.679999999827714e-05,0.000712299999999999,0.00014620000000009625,0.006273500000000043,2.049999999997887e-05,1.819999999996824e-05,0.001408099999999024,0.0009548000000005883
1.2999999998708493e-06,6.559999999922184e-05,0.00017280000000141627,0.0007257000000000513,0.0001534999999999176,0.006513599999999897,2.0800000000154032e-05,1.819999999996824e-05,0.0014810000000000654,0.0009918999999989349
1.3000000000928935e-06,6.540000000399004e-05,0.00015540000000413556,0.0007330000000000947,0.00015009999999993084,0.00668959999999985,2.0399999999920482e-05,1.8400000000085008e-05,0.0015540000000004994,0.001183499999999782
1.2999999998708493e-06,6.719999999660331e-05,0.00021639999999933934,0.0007356000000000584,0.00015380000000009275,0.006955700000000009,2.029999999986209e-05,1.7699999999898353e-05,0.0016877999999991287,0.0010797000000000168
1.1999999998124622e-06,6.909999999749061e-05,0.00018330000000332802,0.0007307000000000841,0.00015619999999993972,0.0067995000000000685,2.0399999999920482e-05,1.7699999999898353e-05,0.0017179000000009381,0.0011382999999991485
1.2000000000345068e-06,6.770000000244636e-05,0.00014910000000156742,0.0007376999999999523,0.0001550999999999636,0.0071611999999998685,2.049999999997887e-05,1.7500000000003627e-05,0.001790900000001372,0.0013210000000007938
1.1999999998124622e-06,6.880000000109021e-05,0.00018440000000197188,0.0007596999999999188,0.0001562999999999981,0.00743870000000002,2.0200000000025753e-05,1.7500000000003627e-05,0.0018729000000003992,0.0013906000000005747
1.3000000000928935e-06,7.180000000062137e-05,0.0001791999999980476,0.0011737000000000553,0.00015819999999999723,0.007495000000000029,2.2399999999977993e-05,1.7900000000015126e-05,0.0019606999999997048,0.0012734000000005352
1.600000000046009e-06,7.159999999828415e-05,8.280000000127075e-05,0.0007737000000000992,0.00016080000000018302,0.007617999999999902,2.049999999997887e-05,1.7200000000050508e-05,0.0020495999999994297,0.0013377000000005526
1.2999999998708493e-06,7.120000000071514e-05,0.00019340000000056534,0.0008041000000000853,0.00016820000000006274,0.007904800000000156,2.0200000000025753e-05,1.7399999999945237e-05,0.002172699999999139,0.0015409000000001782
1.2999999998708493e-06,7.370000000150867e-05,0.00015609999999810498,0.0007831000000000365,0.00016539999999998226,0.008124599999999926,2.0099999999967366e-05,1.7300000000108895e-05,0.002268100000000217,0.0016165999999984138
1.2000000000345068e-06,7.399999999790907e-05,0.00010770000000093205,0.0007968999999998783,0.00016409999999988933,0.008282600000000029,2.0800000000154032e-05,1.7800000000178784e-05,0.002424899999999397,0.0014979999999997773
1.3000000000928935e-06,7.480000000015252e-05,0.00016609999999417369,0.0008093000000002347,0.00016840000000017952,0.008625600000000233,2.0800000000154032e-05,1.7700000000342445e-05,0.003185900000000075,0.0024181999999992607
1.1999999998124622e-06,7.519999999772153e-05,0.00016559999999543606,0.0008296000000003192,0.00016820000000006274,0.008958200000000359,2.0399999999920482e-05,1.7600000000062007e-05,0.003022200000000197,0.0015631000000002615
1.2000000002565514e-06,7.749999999617785e-05,0.0002022999999979902,0.0008360000000000589,0.00017450000000041044,0.008996999999999922,2.0199999999803715e-05,1.8100000000131893e-05,0.0024949999999996928,0.00162139999999944
1.2000000002565514e-06,7.740000000211467e-05,0.00021139999999775227,0.0008369000000003624,0.00017899999999970712,0.009151600000000036,2.0800000000154032e-05,1.7300000000108895e-05,0.002693700000000021,0.0016093000000001467
1.1999999998124622e-06,8.070000000515165e-05,0.00018939999999645352,0.0008620000000001402,0.0001773000000002689,0.010028399999999936,2.3699999999848842e-05,1.8000000000295554e-05,0.0026260000000011274,0.0016788999999999275
1.3000000000928935e-06,7.80000000020209e-05,0.00014370000000241134,0.0008665999999997176,0.0001823000000000796,0.009613299999999823,2.0600000000037245e-05,1.709999999999212e-05,0.002774399999999844,0.0017578999999994238
1.3000000000928935e-06,8.050000000281443e-05,0.00017700000000075988,0.0008723000000001591,0.00017969999999989386,0.00993680000000019,2.140000000006026e-05,1.7900000000015126e-05,0.0028866000000000724,0.0017949000000001547
1.2000000002565514e-06,8.179999999669008e-05,0.00014259999999666206,0.0008908000000000804,0.00018739999999972667,0.010463000000000113,2.140000000006026e-05,1.7800000000178784e-05,0.002907500000000951,0.0018539000000004078
1.1999999998124622e-06,8.119999999678384e-05,0.00017600000000328464,0.0008968999999998671,0.00018640000000003096,0.01060379999999972,2.0499999999756824e-05,1.709999999999212e-05,0.0030292000000002872,0.001931599999998923
1.3000000000928935e-06,8.460000000098944e-05,0.00018560000000178434,0.0009844000000001074,0.00019020000000002923,0.01040870000000016,2.02000000002478e-05,1.7600000000062007e-05,0.003211600000000203,0.0019854999999999734
1.09999999997612e-06,8.299999999650254e-05,0.00021629999999817073,0.0009016000000001687,0.00018669999999998407,0.010649000000000351,2.050000000020092e-05,1.7799999999734695e-05,0.0032563000000003233,0.002056699999998912
1.2000000002565514e-06,8.549999999729607e-05,0.0001390999999983933,0.0009095999999999547,0.0001853000000000549,0.011585900000000038,2.0700000000317686e-05,1.7399999999945237e-05,0.0034242999999989365,0.0021257999999999555
1.1999999998124622e-06,8.619999999837091e-05,0.0001488999999992302,0.0009152999999999524,0.0001908999999997718,0.0111321000000002,2.0099999999967366e-05,1.699999999971169e-05,0.003524599999998657,0.0022050999999994048
1.2000000002565514e-06,9.080000000238897e-05,0.00011109999999803222,0.0009273999999996897,0.00019100000000005224,0.011932400000000063,2.0899999999990367e-05,1.7699999999898353e-05,0.003769899999999993,0.0022619999999999862
1.2000000002565514e-06,8.479999999622123e-05,0.00022979999999961365,0.0009594000000001657,0.00020110000000039818,0.011951999999999964,2.050000000020092e-05,1.700000000015578e-05,0.0040364999999997755,0.002354900000000271
1.1999999998124622e-06,8.919999999790207e-05,0.00016430000000156042,0.0009499000000001699,0.00019400000000002748,0.011880699999999857,2.0400000000364568e-05,1.7500000000225672e-05,0.004012799999999928,0.0024117999999990762
1.1999999998124622e-06,9.290000000561349e-05,0.0001694000000043161,0.0009702999999996463,0.00019630000000026016,0.012504599999999757,2.030000000008414e-05,1.7299999999664806e-05,0.004253999999999536,0.002494200000001001
1.2000000002565514e-06,8.859999999799584e-05,0.00018079999999542906,0.0010072999999999332,0.00020489999999995242,0.012594899999999852,2.0099999999967366e-05,1.7699999999898353e-05,0.0043442999999996346,0.002567799999999565
1.09999999997612e-06,9.010000000131413e-05,0.00019360000000290256,0.0009896999999998712,0.00020810000000004441,0.012589999999999879,2.0600000000037245e-05,1.700000000015578e-05,0.0045111999999996035,0.0027756000000014325
1.1999999998124622e-06,9.289999999850806e-05,0.00016880000000440987,0.0009893000000000818,0.0002067999999999515,0.01357659999999994,2.0600000000037245e-05,1.7300000000108895e-05,0.004678800000000649,0.0026661000000007817
1.1999999998124622e-06,0.00010229999999467054,0.00019290000000182772,0.0009983999999998439,0.00020610000000020892,0.013369799999999987,3.0600000000102774e-05,1.7300000000108895e-05,0.005081899999998639,0.002839700000000889
1.1999999998124622e-06,9.190000000103282e-05,0.00021989999999760812,0.001013900000000234,0.00020990000000020714,0.013965299999999736,2.0099999999967366e-05,1.700000000015578e-05,0.004882800000000742,0.002866400000000269
1.2000000002565514e-06,0.0001049999999978013,0.0002537999999958629,0.0010064999999999102,0.00021119999999985595,0.013717700000000388,1.979999999957016e-05,1.709999999999212e-05,0.0051079999999998895,0.0029585999999994783
1.09999999997612e-06,9.390000000308873e-05,0.0001874999999955662,0.0010542000000000053,0.0004249999999998977,0.014906500000000378,2.1800000000293807e-05,1.709999999999212e-05,0.005197499999999522,0.003106500000001233
1.2999999996488043e-06,0.0001052999999942017,0.00017100000000169757,0.0010124999999998607,0.0002639000000002057,0.01469560000000003,1.9800000000014247e-05,1.6800000000039006e-05,0.005439700000000157,0.0031434999999984115
1.09999999997612e-06,9.410000000542595e-05,0.000194400000005146,0.0010151000000000463,0.0002464999999998163,0.014753999999999934,2.0499999999756824e-05,1.6299999999969117e-05,0.005598799999999571,0.003316700000000949
1.1999999998124622e-06,0.0001087999999995759,0.00021960000000120772,0.0011255000000001123,0.0002140000000001585,0.015205299999999866,2.0099999999967366e-05,1.6800000000039006e-05,0.005782099999999346,0.003317899999998985
1.1999999998124622e-06,9.299999999967667e-05,0.0002327999999991448,0.0010444000000000564,0.00021699999999968966,0.015281900000000181,2.0000000000131024e-05,1.7199999999828464e-05,0.006134299999999371,0.0034037000000015642
1.1999999998124622e-06,0.00010999999999938836,0.00019910000000322725,0.0010889000000000593,0.0002190999999998056,0.015400999999999774,2.079999999970994e-05,1.709999999999212e-05,0.0061298999999994655,0.0035529000000007467
1.09999999997612e-06,0.0001010000000007949,0.0001007000000043945,0.0011318999999998525,0.00022600000000005951,0.016380099999999675,2.1100000000107144e-05,1.7199999999828464e-05,0.006605699999999715,0.003648300000000049
1.2000000002565514e-06,0.00010430000000383188,0.0001221999999998502,0.0010939999999997065,0.00022959999999994096,0.016492299999999904,1.9800000000014247e-05,1.6899999999875348e-05,0.00728490000000015,0.0037658000000000405
1.2000000002565514e-06,0.00010280000000051359,0.0002039000000024771,0.0011019999999999364,0.0002285999999998012,0.016609499999999944,2.4199999999918728e-05,1.6599999999922233e-05,0.006759999999999877,0.004038300000001271
1.1999999998124622e-06,0.00010599999999527654,0.00019239999999598467,0.0011293000000001108,0.00023470000000003208,0.017097600000000046,1.9700000000177912e-05,1.6699999999758575e-05,0.00693089999999863,0.004007500000000164
1.1999999998124622e-06,0.00010590000000121336,0.00021180000000242671,0.0010880000000002,0.0002325999999999162,0.01708080000000001,2.0099999999967366e-05,1.6700000000202664e-05,0.008402099999999635,0.004674899999999482
1.2000000002565514e-06,0.00010770000000093205,0.00019550000000378986,0.0011210999999997642,0.00023489999999970484,0.017488199999999843,2.0000000000131024e-05,1.6800000000039006e-05,0.009271399999999376,0.004790800000000317
1.2000000002565514e-06,0.00010639999999995098,0.00016550000000137288,0.0011212000000000444,0.00023019999999984722,0.01923090000000016,2.649999999970732e-05,1.6899999999875348e-05,0.008476599999999834,0.0043826000000013465
1.3000000000928935e-06,0.00010799999999733245,0.00018539999999944712,0.0011358999999999675,0.0002333999999999392,0.017847799999999747,2.1000000000270802e-05,1.700000000015578e-05,0.00813360000000074,0.004518400000000256
1.09999999997612e-06,0.0001087999999995759,0.00014170000000035543,0.0011692999999999287,0.000236800000000148,0.018907099999999843,2.1000000000270802e-05,1.7399999999945237e-05,0.008535500000000695,0.004838799999999921
1.2999999996488043e-06,0.00011269999999541369,0.00011039999999695738,0.0011745999999996926,0.0002420000000000755,0.019006599999999985,2.0700000000317686e-05,1.7600000000062007e-05,0.008820399999999395,0.004973100000000841
1.2000000002565514e-06,0.00011020000000172558,0.00019739999999757174,0.0012049999999996786,0.00025229999999965,0.019212200000000124,2.1499999999896602e-05,1.7200000000272553e-05,0.009162200000000452,0.005143399999999687
1.09999999997612e-06,0.00011390000000233158,0.0001733000000001539,0.0012579999999999814,0.0002464999999998163,0.019098999999999755,2.0000000000131024e-05,1.709999999999212e-05,0.009295399999999177,0.005304399999999987
1.1999999998124622e-06,0.00011090000000280043,0.0001487999999980616,0.001209900000000097,0.00024460000000026133,0.01936439999999973,2.079999999970994e-05,1.7300000000108895e-05,0.009531799999999535,0.005442099999999783
1.2000000002565514e-06,0.00011380000000116297,0.0002366999999949826,0.0012253000000002068,0.00025180000000002417,0.01997099999999996,2.0199999999803715e-05,1.7400000000389326e-05,0.009883199999999093,0.005506500000000969
1.2999999996488043e-06,0.00011520000000331265,0.00021449999999845204,0.0012522000000001474,0.000247200000000003,0.026529099999999858,2.689999999994086e-05,1.969999999973382e-05,0.01004499999999986,0.005523100000001335
1.3999999999292356e-06,0.00011539999999854444,0.00018879999999654729,0.0013374000000001553,0.00027929999999987126,0.02342500000000004,2.469999999998862e-05,1.7399999999945237e-05,0.009646399999999387,0.005479199999999906
1.600000000046009e-06,0.00011500000000097543,0.0002327999999991448,0.0012636000000001426,0.00025320000000039755,0.022592300000000343,2.6399999999870968e-05,1.8700000000038127e-05,0.009961900000000412,0.0069525999999999755
1.3999999999292356e-06,0.00011899999999798183,0.0002154000000018641,0.0013760000000000439,0.0002794000000001517,0.02530199999999994,2.5500000000011624e-05,1.849999999992136e-05,0.01022580000000062,0.00564129999999885
1.3999999999292356e-06,0.00011650000000429372,0.00021609999999583351,0.0013583000000001455,0.0002800999999998943,0.023137799999999764,2.5200000000058512e-05,1.8700000000038127e-05,0.01044729999999916,0.005783099999998598
1.799999999718693e-06,0.00011870000000158143,0.0001967999999976655,0.001355200000000334,0.0002778999999999421,0.02400430000000009,2.799999999991698e-05,1.8600000000201792e-05,0.010794699999999937,0.005938999999999695
1.3999999999292356e-06,0.00011980000000022528,0.0002443999999997004,0.0013778000000002064,0.00028540000000010224,0.024224699999999988,2.6199999999754198e-05,1.849999999992136e-05,0.011148300000000331,0.006190500000000654
1.3999999999292356e-06,0.00012339999999966267,0.00021710000000041418,0.0013759000000002075,0.00027500000000024727,0.02419799999999972,2.69999999997772e-05,1.819999999996824e-05,0.012288899999999714,0.007190599999999492
1.3999999999292356e-06,0.0001218000000022812,0.00025080000000343716,0.001366199999999651,0.0004425999999999597,0.024770100000000017,2.6099999999917856e-05,1.9099999999827588e-05,0.011711000000000029,0.006567300000000387
